module,tracked,completed,incomplete,not_started,not_applicable,mapped_1to1,unmapped_1to1,ambiguous_1to1,manual_mapped_1to1
.gitignore,1,1,0,0,0,1,0,0,0
BibleReader,58,36,1,21,0,43,15,0,7
Core,58,53,2,3,0,56,2,0,1
LessonReviewer,41,21,1,19,0,30,11,0,9
Libraries,4,3,0,1,0,4,0,0,1
LICENSE,1,1,0,0,0,1,0,0,0
Notes.txt,1,1,0,0,0,1,0,0,0
Portal,5141,3058,13,1233,837,3432,1709,0,372
README.md,1,1,0,0,0,1,0,0,0
